#choosemydrug	synonym
Medication Treatment for Healing Gastroesophageal Reflux	Gastroesophageal Reflux Disease
Conditions of Excess Stomach Acid Secretion	Zollinger-Ellison syndrome
Ulcer of Duodenum caused by Bacteria Helicobacter Pylori	-
Stomach Ulcer from Aspirin/Ibuprofen-Like Drugs Prevention	Peptic ulcers
Benign Tumors of the Hormone Producing Glands	-
Condition of Increased Mast Cells	-
"Bleeding from Stomach, Esophagus or Duodenum"	-
Ulcer of the Duodenum	H. pylori infection
Osteoporosis	Osteoporosis
Rheumatoid Arthritis	Rheumatoid Arthritis
Joint Inflammatory Disease in Children and Young Adults	Juvenile Idiopathic Arthritis
Treatment to Prevent Gallstones	Gallstones
Chronic Inflammation of the Liver	Hepatitis C
Rare Progressive Liver Disease - Primary Biliary Cirrhosis	Primary Biliary Cirrhosis
Gallstones	Gallstones
Hardening of the Liver caused by Alcohol	Cirrhosis
Blockage of Normal Bile Flow	Cholestasis
Pain In a Cancer Patient When On Pain Medication	-
Breakthrough Pain in Opioid Tolerant Patients	-
&amp;quot;Change of Life&amp;quot; Signs	-
Post-Menopausal Osteoporosis Prevention	Osteoporosis
Wasting of Tissues of the Vulva	-
Vaginal Inflammation due to Loss of Hormone Stimulation	Vaginitis
Shingles	Shingles
Genital Herpes	Genital Herpes
Herpes Simplex Infection	Genital Herpes
Recurrent Genital Herpes	Genital Herpes
Prevent Recurrent Herpes Simplex Infection	-
Herpes Infection of the Eye	-
Chickenpox	Chickenpox
Herpes Infection of Brain and Surrounding Tissue	-
Herpes Simplex Infection of Skin &amp;amp; Mucous Membranes	-
Treatment to Prevent Cytomegalovirus Disease	Cytomegalovirus infection
Prevent Shingles in Patients Without a Normal Immune System	Shingles
"Treatment to Prevent Diphtheria, Pertussis and Tetanus"	-
"Occasional Numbness, Prickling, or Tingling of Fingers and Toes"	-
Type of Angina Where Chest Pain Occurs at Rest	Angina
Having a Rapid Heart Action - Supraventricular Tachycardia	Tachycardia
Paroxysmal Supraventricular Tachycardia	Tachycardia
Overweight	Obesity
Acne Rosacea	Rosacea
Non-Hodgkin's Lymphoma	non-Hodgkin lymphoma
Breast Cancer	non-Hodgkin lymphoma
Diffuse Large B-Cell Lymphoma	Non-Hodgkin's lymphoma
Tumor of Soft/Connective Tissue that is Usually Malignant	Soft tissue sarcoma
COPD with Chronic Bronchitis	Bronchitis
Bronchospasm	asthma
Chronic Obstructive Lung Disease	Chronic obstructive pulmonary disease
Allergic Asthma	asthma
Emphysema	Emphysema
Bronchospasm Prevention with COPD	Chronic obstructive pulmonary disease
Late Onset Asthma	asthma
Combined High Blood Cholesterol and Triglyceride Level	High Cholesterol
High Cholesterol	High Cholesterol
Low HDL Cholesterol	-
High Amount of Triglyceride in the Blood	-
Heterozygous High Cholesterol	High Cholesterol
Sinus Headache	Sinus Headaches
Runny Nose	Nasal congestion
Stuffy Nose	Nasal congestion
Gout	Gout
Chronic Trouble Sleeping	Insomnia
Prevention of Blood Clots in the Brain	stroke
Elevated Platelets with Rapid Growth of Bone Marrow	Thrombocytosis
Non-Seasonal Allergic Runny Nose	Runny Nose
Cold Symptoms	Common cold
Inflammation of the Nose due to an Allergy	Runny Nose
Allergic Conjunctivitis	conjunctivitis
Asthma Attack	asthma
Bronchitis	Bronchitis
Obstructive Pulmonary Disease	Chronic obstructive pulmonary disease
Exercise-Induced Bronchospasm Prevention	asthma
Bronchospasm Prevention	asthma
Chronic Widening of Lung Air Passages	-
Severe Newborn Breathing Problem with Blue Discoloration	Congenital heart defects in children
Accumulation of Fluid Resulting from Chronic Heart Failure	heart failure
Visible Water Retention	-
Disease of Ovaries with Cysts	Endometriosis
Male Pattern of Hair Distribution or Hirsutism in a Woman	Hirsutism
Ascites	Ascites
Diagnostic Test for Primary Hyperaldosteronism	Primary aldosteronism
Accumulation of Fluid caused by Cirrhosis of the Liver	Cirrhosis
Accumulation of Fluid caused by Kidney Disease	-
Low Amount of Potassium in the Blood	-
Aldosteronism	Primary aldosteronism
Enlarged Prostate	prostatic hyperplasia
Enlarged Prostate with Urination Problems	prostatic hyperplasia
Non-Small Cell Lung Cancer	Lung cancer
Sneezing	Dust mite allergy
Seasonal Runny Nose	Runny Nose
Vasomotor Rhinitis	-
Inflammation of the Joints due to Gout	gout
High Amount of Uric Acid in the Blood	High uric acid level
Uric Acid Kidney Stones	Kidney stones
Kidney Disease caused by Increased Uric Acid in the Body	Kidney stones
Increased Uric Acid due to Cancer Chemotherapy	-
Prevention of Calcium-Containing Kidney Stones	Kidney stones
Increased Pressure in the Eye	glaucoma 
Wide-Angle Glaucoma	glaucoma 
Anxious	Anxiety
Repeated Episodes of Anxiety	Anxiety
Panic Disorder	Panic attacks and panic disorder
Inability to have an Erection	Erectile dysfunction
Type of Skin Infection - Impetigo	impetigo
Treatment to Prevent a Heart Attack	Heart attack
Heart Failure After a Heart Attack	Heart attack
Nondiabetic Proteinuric Nephropathy	-
Kidney Problem caused by Body Tissue Disease-Scleroderma	Scleroderma
Stroke Prevention	stroke
Prevention of Recurrent Atrial Fibrillation	Atrial Fibrillation
Chronic Heart Failure	heart failure
Severe Chronic Obstructed Lung Disease	Chronic obstructive pulmonary disease
Fatigue associated with Multiple Sclerosis	Multiple sclerosis
Parkinson Symptoms	Parkinson's disease
A Type of Flu - Influenza A	Swine flu
Parkinson's Disease	Parkinson's disease
Extrapyramidal Reaction	-
Influenza A Prevention	Swine flu
Viral Disease of Central Nervous System-Creutzfeldt-Jakob	Creutzfeldt-Jakob disease
Difficulty Falling Asleep	Insomnia
Birth Control	-
Endometriosis	Endometriosis
Abnormally Long or Heavy Periods	Menstrual cramps
Atrial Fibrillation	Atrial Fibrillation
Atrial Fibrillation Electrically Shocked to Normal Rhythm	Atrial Fibrillation
Rapid Ventricular Heartbeat	Ventricular fibrillation
Paroxysmal Atrial Fibrillation	Atrial Fibrillation
Prevention of Post Cardio-Thoracic Surgery Atrial Fibrillation	Atrial Fibrillation
Prevention of Ventricular Fibrillation	Ventricular fibrillation
Ventricular Fibrillation	Ventricular fibrillation
Atypical Ventricular Tachycardia	Ventricular fibrillation
Heart Rate Between 100 and 130 Beats Per Minute	Tachycardia
Atrial Flutter	-
Life-Threatening Rapid Ventricular Heartbeat	Ventricular fibrillation
Ventricular Rate Control in Atrial Fibrillation	Atrial Fibrillation
Chronic Difficulty having a Bowel Movement	Constipation
Constipation Predominant Irritable Colon	Constipation
Bedwetting	Bed-wetting
Migraine Prevention	Migraine
Posttraumatic Stress Syndrome	Post-traumatic stress disorder
"Disorder characterized by Stiff, Tender &amp;amp; Painful Muscles"	-
Neuropathic Pain	-
Bulimia	Bulimia nervosa
Anxiousness associated with Depression	Depression
Slow Progression of Disease of the Arteries of the Heart	Coronary artery disease
Angina	
Angina Pectoris Prevention	Angina
Multiple Sclerosis	-
Muscle Spasm	-
Obsessive Compulsive Disorder	Obsessive-compulsive disorder
Rectal Disorder	Rectal bleeding
Anal Itching	Anal itching
Skin Irritation Around the Anus	Anal pain
Hormone Receptor Positive Breast Cancer	breast cancer
Hormone Receptor Positive Postmenopausal Early Breast Cancer	breast cancer
Locally Advanced Breast Carcinoma	breast cancer
Prevention of Perioperative Infection	-
Infection of Bone	Osteomyelitis
Deficiency of a Substance that Promotes Masculinization	-
Unusually Late Sexual Maturity	-
Habit of Drinking Too Much Alcohol	Alcoholism
Sensation of Spinning or Whirling	Dizziness
Motion Sickness	Motion Sickness
Prevention of Motion Sickness	Motion Sickness
Hemorrhoids	Hemorrhoids
Inflammation of the Rectum	Ulcerative colitis
Bipolar Depression	Bipolar disorder
Major Depressive Disorder	Depression
Crohn's Disease	Crohn's Disease
Ulcerated Colon	Ulcerative colitis
Ulcerative Colitis currently Without Symptoms	Ulcerative colitis
Decrease in Red Blood Cells due to Kidney Failure	Acute kidney failure
Anemia from Chemotherapy	Anemia
Mild to Moderate Alzheimer's Type Dementia	Alzheimer's disease
Moderate to Severe Alzheimer's Type Dementia	Alzheimer's disease
Alzheimer's Disease	-
Diffuse Lewy Body Disease	Lewy body dementia
Advanced Breast Cancer Progression Post-Antiestrogen Therapy	Breast Cancer
Cancer of the Ovary	Ovarian Cancer
Deep Vein Thrombosis Prevention	Deep Vein Thrombosis
Deep Vein Thrombosis Prevention in Hip Surgery	Deep Vein Thrombosis
Blood Clots in Deep Veins and in Blood Vessel of the Lung	Pulmonary embolism
Deep Vein Thrombosis Prevention in Knee Replacement	Deep Vein Thrombosis
Acute Blood Clot in a Blood Vessel Supplying the Lungs	Pulmonary embolism
Blood Clot in a Deep Vein	Deep Vein Thrombosis
Treatment to Prevent a Blood Clot in the Lung	Pulmonary embolism
Test for Thyroid Problems	-
Underactive Thyroid	Hypothyroidism
Cancer of Thyroid	Thyroid cancer
Enlarged Thyroid Gland	Goiter
Decreased Thyroid Function existing from Birth	Hypothyroidism
Serious Decrease in Thyroid Function	Hypothyroidism
Hormone Receptor Positive Postmenopausal Early Breast Cancer After Adjuvant Tamoxifen	Breast Cancer
Prevention of Breast Cancer	Breast Cancer
Osteoarthritis with High Risk of Developing Ulcers	Osteoarthritis
Rheumatoid Arthritis with a High Risk of Developing Ulcer	Rheumatoid Arthritis
Rheumatic Disease causing Pain &amp;amp; Stiffness in Backbone	Rheumatoid Arthritis
Hives	Hives and angioedema
Itching	Dermatitis
Inducing of a Relaxed Easy State	-
Welt from Pressure on Skin	Chronic hives (urticaria)
Nausea and Vomiting	-
Feel Like Throwing Up	Nausea and Vomiting
Inflammation of Skin caused by an Allergy	Dermatitis
Decreased Bone Mass Following Menopause	Menopause
Hypertrophic Cardiomyopathy	Hypertrophic Cardiomyopathy
Supraventricular Cardiac Arrhythmia	heart arrhythmias
Additional Medications for Treating Pheochromocytoma	Pheochromocytoma
Mitral Valve Prolapse Syndrome	Mitral valve prolapse
Heart Attack	Heart attack
Involuntary Quivering	Essential Tremor
Essential Tremor	-
Overactive Thyroid causing Life-Threatening Symptoms	Hyperthyroidism
Prevention of Congenital Long QT Syndrome associated Ventricular Arrhythmia	Long QT Syndrome
Acute Syndrome of the Heart	Acute coronary syndrome
Additional Medication for Calming	Anxiety
Prevent Nausea and Vomiting from Cancer Chemotherapy	-
Seizures	Epilepsy
Symptoms from Alcohol Withdrawal	Alcoholism
Additional Agent to Induce General Anesthesia	-
Calming of Intubated Patient by Administration of Sedative	-
Delirium	-
Additional Local Anesthesia	-
Tension Headache	-
Manic Bipolar Disorder Adjunct Treatment	bipolar disorder
Nausea and Vomiting caused by Cancer Drugs	Nausea and Vomiting
Psychosis caused by Sudden Alcohol Withdrawal	-
Atopic Dermatitis	Atopic dermatitis (eczema)
Dry Skin	-
Increased Triglycerides and Cholesterol	High Cholesterol
A Type of Inherited High Blood Cholesterol Disorder	High Cholesterol
Prevention of Transient Ischemic Attacks	transient ischemic attack (TIA)
HIV	Acquired immunodeficiency syndrome
Muscle Spasms caused by a Spinal Disease	-
Muscle Spasms due to a Brain Disease	-
Facial Nerve Pain	Trigeminal neuralgia
Abnormal Movements of Face Muscles and Tongue	-
Bacterial Infection with Chronic Bronchitis	Bronchitis
Sinus Irritation and Congestion	Chronic sinusitis
Skin Infection	-
Bacterial Urinary Tract Infection	Urinary tract infection
Urinary Tract Infection caused by Klebsiella Bacteria	Urinary tract infection
Urinary Tract Infection Prevention	Urinary tract infection
Middle Ear Infection	Ear infection (middle ear)
Continuous Bacterial Inflammation of the Prostate Gland	Prostatitis
Infection of the Urinary Tract caused by Proteus Bacteria	Urinary tract infection
Urinary Tract Infection caused by Morganella Morganii	Urinary tract infection
Pneumonia caused by Bacteria	Pneumonia
Infection of Urinary Tract due to Enterobacter Cloacae	Urinary tract infection
Urinary Tract Infection due to E. Coli Bacteria	Urinary tract infection
"Short-Term Infection with Diarrhea, Discomfort &amp;amp; Weight Loss"	-
Prevention of Toxoplasmosis	Toxoplasmosis
Bacterial Infection of Blood or Tissues affecting the Whole Body	-
Chronic Bronchitis caused by Haemophilus Influenzae	Bronchitis
Infection due to a Brucella Bacteria	-
Infection of the Middle Ear caused by Streptococcus	Ear infection (middle ear)
Diverticulitis	-
Diabetic Foot Infection	Diabetes 
Chronic Skin Disease caused by a Fungus	-
Chronic Bronchitis caused by Streptococcus Pneumoniae	Bronchitis
Infection due to Salmonella paratyphi Bacteria	Typhoid fever
Prevention of Plague Following Exposure to Plague	Plague
Infection of the Middle Ear by H. Influenzae Bacteria	Ear infection (middle ear)
Methicillin-Resistant Staphylococcus Aureus Bacteria in Nose	staph infections
Absence of Menstrual Periods	amenorrhea
Abnormal Bleeding from the Uterus	Uterine polyps
Defective Internal Secretion of Ovaries	-
Chronic Hepatitis B	Hepatitis B
Process of Making X-Rays of Stomach or Intestines	-
Cancer of the Bladder	Bladder cancer
Prevention of Recurrent Bladder Cancer	Bladder cancer
Indigestion	Indigestion 
Stomach Ulcer	peptic ulcer
Ulcer from Stomach Acid	peptic ulcer
Small and Large Intestine Inflammation	Inflammatory bowel disease (IBD)
Headache caused by Disorder of Cranial Blood Vessels	-
Reaction due to an Allergy	Drug allergy
Life Threatening Allergic Reaction	Drug allergy
Systemic Lupus Erythematosus	Lupus
Parkinsonism due to Thickening of Blood Vessel Walls	-
Disease that Causes Disc-Shaped Patches On the Upper Body	-
Rash	Heat Rash
Skin Rash that Becomes Thick &amp;amp; Discolored From Rubbing It	-
Contact Dermatitis	Dermatitis
Plaque Psoriasis	Psoriasis
Reddish Nodules Arranged in a Circle On the Skin	Granuloma annulare
Psoriasis of Scalp	Psoriasis
Genital Itching	Jock itch
Heart Ventricle Rhythm Problem	Ventricular fibrillation
Cannot Empty Bladder	-
Stomach Muscle Paralysis and Decreased Function	-
Pneumonia caused by Pneumococcus Bacteria	Pneumonia
Bacterial Pneumonia caused by Haemophilus Influenzae	Pneumonia
Acute Maxillary Sinus H. Influenzae Bacteria Infection	-
Acute Maxillary Sinus M. Catarrhalis Bacteria Infection	-
Acute Maxillary Sinus S. Pneumoniae Bacteria Infection	-
Severe Episode of Chronic Bronchitis due to Streptococcus Pneumoniae	Bronchitis
Advanced Form of Prostate Cancer	Prostate cancer
Cancer of the Prostate Gland	Prostate cancer
Strep Throat	-
Early Stage of Syphilis with No Symptoms	Syphilis
Strep Throat and Tonsillitis	Tonsillitis
Syphilis	Syphilis
Rheumatic Fever Prevention	Rheumatic fever
Incomplete or Infrequent Bowel Movements	Constipation
Emptying of the Bowel	-
Deep Lines Between Eyebrows	Wrinkles
Twisting Neck Spasms	Cervical dystonia
Upper Limb Muscle Spasm	-
Prolactin Excreting Tumor of the Pituitary Gland	Pituitary tumors
Increased Levels of Prolactin in the Blood	Prolactinoma
Female Problems Causing Trouble in Getting Pregnant	Endometriosis
Neuroleptic Malignant Syndrome	-
Prevention of Bronchospasms with Emphysema	Emphysema
Bronchi Muscle Spasm resulting from COPD	Chronic obstructive pulmonary disease
Chronic Bronchitis	Bronchitis
Primary Prevention of Heart Attack	Heart attack
Cluster Headache	Cluster headache
Condition caused by Low Levels of Parathyroid Hormone	Hyperparathyroidism
Low Amount of Calcium in the Blood	Hypocalcemia
Prevention of Vitamin D Deficiency	Rickets
Hyperparathyroidism caused by Chronic Kidney Failure	Hyperparathyroidism
Wound	-
Burn	Burns
Skin Irritation	Atopic dermatitis (eczema)
Ulceration of the Rectum	Solitary rectal ulcer syndrome
Inflammation of the Nose	Nonallergic rhinitis
Sprains and Strains	-
Nerve Pain	-
Heart Failure	Heart failure
Joint Pain	Joint pain
Superficial Basal Cell Carcinoma of the Skin	Basal cell carcinoma
Roughened Red Patches of Skin due to Sun Exposure	Actinic keratosis
Carcinoma In Situ of the Glans Penis	-
Epileptic Seizure	Epilepsy
Convulsive Seizures	grand mal seizure
Multiple Seizure Types	Epilepsy
Tonic-Clonic Epilepsy	grand mal seizure
Small Cell Cancer of the Lung	Lung cancer
Malignant Testicular Tumor - Seminoma	Testicular cancer
Cancer of the Cervix	Cervical cancer
Drying and Inflammation of Cornea and Conjunctiva of Eyes	Dry eyes
Dry Eye	Dry eyes
A Continuous Squeezing Pain in the Chest	Chest pain
Sudden Uncontrolled Muscle Contraction with Pain	-
Severe Heart Failure	Heart Failure
Dysfunction of Left Ventricle of Heart following Heart Attack	Myocardial Infarction
Cancer of Prostate that has Spread to Other Part of Body	Prostate cancer
Inflammation of the Sac Surrounding the Joint - Bursitis	Bursitis
Tourette's	Tourette syndrome
Extreme Discomfort in Calves when Sitting or Lying Down	Restless legs syndrome
Extremely High Blood Pressure	High blood pressure
Symptoms from Stopping Treatment with Opioid Drugs	-
Stop Smoking	-
Maintain the Patency of Ductus Arteriosus	Patent ductus arteriosus (PDA)
Cystic Fibrosis and Infection from Pseudomonas Bacteria	Cystic fibrosis
Infection of Urinary Tract with Complications	Urinary tract infection
Pneumonia caused by the Bacteria Pseudomonas Aeruginosa	Pneumonia
Presumed Infection in Febrile Neutropenic Patient	-
Acute Pain Following an Operation	-
Multiple Polyps in the Colon	Colon polyps
Allergic Reaction caused by a Drug	Drug allergy
Thyroid Gland Inflammation	Postpartum thyroiditis
Inflammation of the Lining of a Joint	-
Severe Prolonged Asthma Attack	asthma
Joint Disease which may include Attacks of Acute Arthritis	-
Any Disease Following Trauma Involving Joint Cartilage	-
"Muscle Pain and Stiffness in Shoulder, Neck and Pelvis"	Polymyalgia rheumatica
Blistering Skin Diseases	-
Inflammation of the Tendon	Tendinitis
Condition caused by Excess Secretion of Male Hormones	-
Inflammation of the Covering of the Tendon	Tendinitis
Inflammation of Several Cartilages of the Body	Costochondritis
Abnormal Development of Bronchopulmonary Tissue in Newborn	-
Skin Infection due to Staphylococcus Aureus Bacteria	staph infections
Bone Infection caused by Staphylococcus Aureus Bacteria	Staph infections
Bacterial Pneumonia caused by Streptococcus	Pneumonia
Bacterial Infection of Breast	Mastitis
Skin Infection due to Streptococcus Pyogenes Bacteria	Impetigo
Diabetic with Foot Infection due to a Specific Bacteria	-
Infection of the Prostate Gland caused by Proteus	Prostatitis
Infection of the Middle Ear caused by Staphylococcus	staph infections
Infection of a Joint	Septic arthritis
Bone Infection due to Streptococcus Bacteria	Group B strep disease
Treatment To Prevent Vitamin Deficiency	Vitamin deficiency anemia
Lack in Vitamins	Vitamin deficiency anemia
Increased amount of Homocysteine in the Blood	-
Persistent Hives of Unknown Cause	Hives
Flu-Like Symptoms	flu
Calming of Pediatric Patient by Administration of Sedative	-
Severe Anxiety	Anxiety
Mouth Infection Prevention	Oral thrush
Inflammation of the Gums	Oral thrush
Sore Mouth due to Dentures or Poor Oral Hygiene	Oral thrush
Hiccups that are Hard to Cure	Hiccups
Mental Disorder with Loss of Normal Personality &amp;amp; Reality	Schizophrenia
Combative and Explosive Behavior	-
Diabetes Insipidus	Diabetes insipidus
Chronic Diarrhea	Diarrhea
Poisoning by the Heart Medication Digitalis	-
Increased Pressure of Pulmonary Circulation	Pulmonary hypertension
Leg Pain when Walking; Absent at Rest	Peripheral artery disease
Stress Ulcer Prevention	-
Heartburn	-
Crohn's Disease Maintenance of Remission	Crohn's Disease
Outer Ear Pseudomonas Aeruginosa Bacterial Infection	Swimmer's ear
Outer Ear Bacterial Infection due to Staphylococcus Aureus	staph infections
Middle Ear Infection Needing Tube Placed in Ear	Ear infection (middle ear)
Bacterial Infection of Kidney due to E. Coli Organism	Urinary tract infection
Proteus Mirabilis Bacteria Urinary Tract Infection	Urinary tract infection
Infection of the Bladder	Urinary tract infection
Complicated Urinary Tract Infection due to P. Aeruginosa	Urinary tract infection
Cancer Involving the Head or Neck	-
Stomach Cancer	-
Ovarian Germ Cell Cancer	Ovarian Cancer
Cancer of the Pancreas	Pancreatic cancer
Cancer in the Lining of the Uterus	Endometrial cancer
Osteosarcoma of Bone	Bone cancer
Testicular Germ Cell Cancer	Testicular cancer
Scaly Oily Skin Problem Primarily On Face and Scalp	Seborrheic dermatitis
Acute Streptococcus Pyogenes Bacteria Infection of Sinuses	Acute Sinusitis
Severe Sinusitis caused by Streptococcus Pneumoniae	Acute Sinusitis
Treatment to Prevent Bacterial Infection of a Heart Valve	endocarditis 
Inflammation of the Vagina caused by Bacteria	Bacterial vaginosis
Infection Within the Abdomen	Peritonitis
Acute Sinus Infection caused by Staphylococcus Bacteria	Staph infections
A type of Parasitic Infection - Babesiosis	-
Skin Infection due to Anaerobic Bacteria	-
Pneumonia caused by an Anaerobic Bacteria	Pneumonia
Bacterial Pneumonia caused by Staphylococcus	staph infections
Inflammation in Pelvic Area caused by Anaerobic Bacteria	Pelvic inflammatory disease (PID)
Anaerobic Bacteria Infection of Abdominal Cavity Lining	Peritonitis
Anaerobic Infection Following Vaginal Cuff Surgery	-
Non-Contagious Disease due to Actinomyces Bacteria	-
Pelvic Inflammatory Disease	Pelvic inflammatory disease (PID)
Infection of Tissues of the Uterus caused by Bacteroides	Bacterial vaginosis
Bacterial Stomach or Intestine Infection caused by Anthrax	Anthrax
Skin Infection due to a Bacteria	Impetigo
Skin Ulcer	-
Vaginosis caused by Bacteria	Bacterial vaginosis
Inflammation of a Shoulder Joint	Rotator cuff injury
Shoulder Tendon Inflammation	Rotator cuff injury
An Insufficiency in Ovulation	Female infertility
Stimulation of Ovarian Function	-
Low Sperm Count	Low sperm count
Male Infertility	Male infertility
Study of the Function of the Ovaries	-
Hypothalamic Pituitary Gonadal Axis Function Test	-
Blood Clot Prevention Following Percutaneous Coronary Intervention	-
Treatment to Prevent a Blood Clot in a Vascular Stent	-
Treatment to Prevent Peripheral Artery Thromboembolism	-
Prevention for a Blood Clot going to the Brain	stroke
Non-Q Wave Heart Attack	Heart attack
Thrush	Oral Thrush
Candidiasis Fungal Infection of the Oropharynx	Oral Thrush
Athlete's Foot	Athlete's foot
Skin Infection due to a Candida Yeast	-
Ringworm of the Body	Ringworm (body)
Treatment-Resistant Schizophrenia	Schizophrenia
Suicidal Behavior in Schizoaffective Disorder	Schizoaffective disorder
Parkinsonism due to Degenerations in the Brain	-
Treatment to Prevent Gout	gout
A Chronic Multisystem Inflammatory Disorder	-
Inflammation of the Covering of the Heart or Pericardium	Pericarditis
Familial Mediterranean Fever	-
Arthritis of the Toes and Fingers due to Sarcoidosis	Sarcoidosis
Chronic Inflammation of the Joints due to Gout	gout
Low Estrogen After Operation to Remove Ovaries	-
Primary Ovarian Failure	Female infertility
Prevention of HIV Infection after Exposure	Acquired immunodeficiency syndrome
Severe Pain	-
Throwing Up	Nausea and Vomiting
Anxiety without Psychosis	Anxiety
Severe Nausea and Vomiting that has Lasted a Long Time	Nausea and Vomiting
Pregnancy	-
A Mother who is Producing Milk and Breastfeeding	-
Prevention of Fetal Neural Tube Defects when Pregnant	-
Multiple Sclerosis Symptoms Return then Become Less Severe	Multiple sclerosis
Abnormal Heart Rhythm	heart arrhythmias
Decreased Function of the Adrenal Gland	Addison's disease
Diagnostic Test For Cushing's Syndrome	Cushing syndrome
Addison's Disease	Addison's disease
Disease in which Body has Immune Response Against Itself	-
Fluid Accumulation in the Brain	Hydrocephalus
Underdevelopment of the Pituitary Gland Since Birth	-
Nephrotic Syndrome	-
Giant Hives	Hives
Sarcoidosis	-
Eczema	Atopic dermatitis (eczema)
Anemia from Inadequate Iron	Anemia
Lack in Minerals	-
Blood Clot in Lung	Pulmonary embolism
Blood Clot	Blood clots
Obstruction of a Blood Vessel by a Blood Clot	Deep vein thrombosis
Prevent Blood Clot with Fast Irregular Heart Rate	heart arrhythmias
Transient Ischemic Attack	transient ischemic attack (TIA)
Blood Clot caused by Artificial Heart Valve	Heart Failure
Abnormal Increase in Ability of Blood to Clot	Deep vein thrombosis
Myocardial Reinfarction Prevention	Heart attack
Heart Failure with Paroxysmal Atrial Fibrillation	Atrial Fibrillation
Hypertension with Left Ventricular Hypertrophy	Left ventricular hypertrophy
Pancreas Organ Failure	Pancreatitis
Bowel Movements Containing Much Fat	-
Changes Involving Fatty Deposits in the Blood Vessels	Arteriosclerosis / atherosclerosis
Prevention of Hereditary Angioedema	-
Cystic Disease of the Breast	Fibrocystic breasts
Chronic Inflammatory Skin Disease Marked by Blisters	dermatitis
Disease of the Skin Characterized by Pus-Filled Blisters	dermatitis
Group of Skin Disorders that Resemble Blisters	dermatitis
Leprosy	-
Disease of the Mouth and Eyes Marked by Blisters	pemphigus 
Pyoderma Gangrenosum	-
Pneumonia caused by Pneumocystis Carinii	Pneumonia
Blood Infection caused by Staphylococcus Aureus Bacteria	Staph infections
Complicated Skin Infection due to Staphyloccus Aureus Bacteria	Staph infections
Complicated Skin Infection by Streptococcus Agalactiae	Group B strep disease
Canker Sore	-
Ear Wax that has Hardened and May Cause Blockage	Earwax blockage
Inflammation of Skin and Muscles All Over the Body	-
Skin Rash with Sloughing	Peeling skin
Skin Condition	-
Worsening of Asthma	asthma
Psoriasis associated with Arthritis	Psoriasis
Muscle or Bone Disorder	-
Decreased Platelets due to a Disease State or a Drug	Thrombocytopenia
Multiple Myeloma	Multiple myeloma
Inflammation of the Artery in the Temple Area	Temporal arteritis
Presence of Polyps in the Nose	Nasal polyps
Fluid in the Lungs due to Chronic Heart Failure	Pulmonary edema
Edema with Defective Kidney Function	Pulmonary edema
Labor Pain	-
Seizures with Breaks in Consciousness &amp;amp; Other Symptoms	Epilepsy
Manic-Depression	bipolar disorder
Seizures with Irregular Muscle Contractions	Epilepsy
Simple Partial Seizures	Epilepsy
Petit Mal Epilepsy with Multiple Seizure Types	Absence seizure
Petit Mal Seizures	Absence seizure
Rapid Cycle Manic-Depression	bipolar disorder
Anemia From Inadequate Folic Acid	Anemia
Inadequate Folic Acid	-
Vasculitis	Vasculitis
